source,destination,source_name,dest_name,source_state,dest_state,trip_count,median_delay_ratio,mean_delay_ratio,pct_delayed,sla_breach_count,sla_breach_contribution,median_actual_time,median_osrm_time,median_distance,is_chronic_delay,breach_impact
IND562132AAA,IND560300AAA,Bangalore_Nelmngla_H (Karnataka),Bengaluru_KGAirprt_HB (Karnataka),Karnataka,Karnataka,151,1.4,1.9351921872695372,0.6490066225165563,98,0.0042468365401282715,12.0,9.0,6.2251,True,98.0
IND421302AAG,IND400072AAB,Bhiwandi_Mankoli_HB (Maharashtra),Mumbai Hub (Maharashtra),Maharashtra,Maharashtra,105,2.6666666666666665,3.7308791208791208,0.9238095238095239,97,0.004203501473392269,8.0,3.0,3.4861,True,97.0
IND400072AAD,IND421302AAG,Mumbai_Chndivli_PC (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra),Maharashtra,Maharashtra,99,3.0,6.093518069071083,0.9595959595959596,95,0.004116831339920263,17.0,5.0,4.3347,True,95.0
IND562132AAA,IND560099AAB,Bangalore_Nelmngla_H (Karnataka),Bengaluru_Bomsndra_HB (Karnataka),Karnataka,Karnataka,127,1.5,2.1442707763410302,0.7165354330708661,91,0.003943491072976252,12.0,5.0,3.8766,True,91.0
IND000000ACB,IND131028AAB,Gurgaon_Bilaspur_HB (Haryana),Sonipat_Kundli_H (Haryana),Haryana,Haryana,92,2.2404761904761905,3.643565768992733,0.9456521739130435,87,0.0037701508060322413,35.0,15.0,10.9862,True,87.0
IND560099AAB,IND560300AAA,Bengaluru_Bomsndra_HB (Karnataka),Bengaluru_KGAirprt_HB (Karnataka),Karnataka,Karnataka,121,1.5,1.8237140486401673,0.7107438016528925,86,0.0037268157392962385,17.0,11.0,9.6109,True,86.0
IND421302AAG,IND401104AAA,Bhiwandi_Mankoli_HB (Maharashtra),Mumbai_MiraRd_IP (Maharashtra),Maharashtra,Maharashtra,78,2.7954545454545454,3.942118246549685,1.0,78,0.0033801352054082163,32.5,12.0,14.52655,True,78.0
IND560099AAB,IND562132AAA,Bengaluru_Bomsndra_HB (Karnataka),Bangalore_Nelmngla_H (Karnataka),Karnataka,Karnataka,102,1.5,2.132332573718292,0.7352941176470589,75,0.003250130005200208,8.0,5.0,3.7666000000000004,True,75.0
IND110044AAB,IND000000ACB,Del_Okhla_PC (Delhi),Gurgaon_Bilaspur_HB (Haryana),Delhi,Haryana,76,2.75,3.8332662585952058,0.9605263157894737,73,0.0031634598717282026,14.0,6.0,6.50925,True,73.0
IND421302AAG,IND411033AAA,Bhiwandi_Mankoli_HB (Maharashtra),Pune_Tathawde_H (Maharashtra),Maharashtra,Maharashtra,72,2.8798076923076925,3.5332949464273637,1.0,72,0.0031201248049922,50.0,17.0,22.157249999999998,True,72.0
IND400072AAB,IND401104AAA,Mumbai Hub (Maharashtra),Mumbai_MiraRd_IP (Maharashtra),Maharashtra,Maharashtra,72,3.111111111111111,3.4993366201699536,1.0,72,0.0031201248049922,26.5,8.0,9.96715,True,72.0
IND411033AAA,IND421302AAG,Pune_Tathawde_H (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra),Maharashtra,Maharashtra,107,1.3125,1.7430039685743368,0.6355140186915887,68,0.0029467845380481885,21.0,14.0,15.0535,True,68.0
IND400072AAB,IND000000AFT,Mumbai Hub (Maharashtra),Mumbai_Sanpada_I (Maharashtra),Maharashtra,Maharashtra,67,2.888888888888889,3.5107574540248128,1.0,67,0.0029034494713121857,27.0,9.0,10.1651,True,67.0
IND160002AAC,IND000000ACB,Chandigarh_Mehmdpur_H (Punjab),Gurgaon_Bilaspur_HB (Haryana),Punjab,Haryana,66,2.0,3.4347402212304865,1.0,66,0.002860114404576183,27.0,14.0,20.6592,True,66.0
IND000000ACB,IND562132AAA,Gurgaon_Bilaspur_HB (Haryana),Bangalore_Nelmngla_H (Karnataka),Haryana,Karnataka,66,1.772077922077922,2.3870618985510683,0.9848484848484849,65,0.0028167793378401805,55.0,34.0,39.7196,True,65.0
IND000000ACA,IND160002AAC,Ludhiana_MilrGanj_HB (Punjab),Chandigarh_Mehmdpur_H (Punjab),Punjab,Punjab,71,2.2857142857142856,2.555674719238712,0.9154929577464789,65,0.0028167793378401805,35.0,14.0,21.0507,True,65.0
IND400072AAB,IND421302AAG,Mumbai Hub (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra),Maharashtra,Maharashtra,63,3.75,6.824971272114129,1.0,63,0.002730109204368175,18.0,4.0,3.8501,True,63.0
IND400072AAB,IND400015AAA,Mumbai Hub (Maharashtra),Mumbai_CottonGreen_DPC (Maharashtra),Maharashtra,Maharashtra,60,3.176470588235294,4.264777855586679,1.0,60,0.0026001040041601664,32.0,9.0,10.121400000000001,True,60.0
IND421302AAG,IND400102AAC,Bhiwandi_Mankoli_HB (Maharashtra),Mumbai_Jogshwri_I (Maharashtra),Maharashtra,Maharashtra,62,2.425806451612903,4.686990479160543,0.9516129032258065,59,0.0025567689374241635,13.0,4.0,4.7937,True,59.0
IND000000ACB,IND160002AAC,Gurgaon_Bilaspur_HB (Haryana),Chandigarh_Mehmdpur_H (Punjab),Haryana,Punjab,58,2.049634273772205,2.623874011362024,1.0,58,0.0025134338706881607,59.0,29.0,27.025550000000003,True,58.0
IND000000ACB,IND121002AAB,Gurgaon_Bilaspur_HB (Haryana),Faridabad_Mthurard_L (Haryana),Haryana,Haryana,57,3.75,6.49584401809634,1.0,57,0.002470098803952158,21.0,4.0,4.7505,True,57.0
IND000000ACB,IND122001AAA,Gurgaon_Bilaspur_HB (Haryana),GGN_DPC (Haryana),Haryana,Haryana,57,3.0,4.393203093203093,0.9649122807017544,55,0.0023834286704801527,15.0,4.0,4.3847,True,55.0
