source_center,destination_center,ftl_trips,ftl_delay,ftl_mean_delay,ftl_pct_delayed,ftl_actual_time,ftl_osrm_time,ftl_distance,carting_trips,carting_delay,carting_mean_delay,carting_pct_delayed,carting_actual_time,carting_osrm_time,carting_distance,delay_diff,time_saved_by_ftl,better_route,delay_improvement,total_trips,avg_distance,distance_category
IND000000ACA,IND160002AAC,70,2.2857142857142856,2.5826605485611696,0.9285714285714286,35.0,14.0,21.052599999999998,1,0.6666666666666666,0.6666666666666666,0.0,8.0,12.0,18.078,-1.619047619047619,-27.0,Carting,70.83333333333334,71,19.5653,Short (<50km)
IND000000ACT,IND000000ACB,57,1.0588235294117647,1.1704276872452266,0.24561403508771928,18.0,17.0,16.4192,43,1.75,3.878838216047518,0.8372093023255814,12.0,7.0,6.03,0.6911764705882353,-6.0,FTL,39.49579831932773,100,11.2246,Short (<50km)
IND144001AAC,IND000000ACA,11,1.8666666666666667,1.8859121270885977,1.0,25.0,15.0,20.957,1,1.2727272727272727,1.2727272727272727,1.0,14.0,11.0,10.7957,-0.593939393939394,-11.0,Carting,31.818181818181817,12,15.87635,Short (<50km)
IND205001AAB,IND205135AAA,7,2.235294117647059,6.122934173669468,1.0,38.0,17.0,19.1189,1,1.25,1.25,1.0,5.0,4.0,4.7523,-0.9852941176470589,-33.0,Carting,44.078947368421055,8,11.9356,Short (<50km)
IND205135AAA,IND283203AAA,12,2.1764705882352944,2.407060543515652,1.0,38.0,18.0,22.3859,1,6.0,6.0,1.0,6.0,1.0,2.2864,3.8235294117647056,-32.0,FTL,63.725490196078425,13,12.33615,Short (<50km)
IND224001AAA,IND224141AAB,2,3.7142857142857144,3.7142857142857144,1.0,28.0,7.5,10.7363,11,2.0,1.9575757575757573,0.7272727272727273,9.0,6.0,7.1519,-1.7142857142857144,-19.0,Carting,46.15384615384615,13,8.9441,Short (<50km)
IND224141AAB,IND224122AAA,1,6.0,6.0,1.0,6.0,1.0,2.3842,16,4.375,4.698660714285714,1.0,17.0,4.0,6.18295,-1.625,11.0,Carting,27.083333333333332,17,4.283575,Short (<50km)
IND248001AAD,IND131028AAB,4,1.6824618736383443,6.20307304208233,1.0,50.0,30.5,20.44455,5,2.75,2.671212121212121,1.0,11.0,3.0,2.6235,1.0675381263616557,-39.0,FTL,38.81956823133294,9,11.534025,Short (<50km)
IND282001AAA,IND110037AAM,4,1.5769230769230769,1.7508518018294554,0.75,20.5,13.5,19.918149999999997,3,2.0,1.9047619047619049,1.0,16.0,8.0,11.7753,0.42307692307692313,-4.5,FTL,21.153846153846157,7,15.846725,Short (<50km)
IND282001AAF,IND283122AAB,7,2.1666666666666665,2.1491228070175437,1.0,39.0,18.0,24.0448,11,3.0,4.712121212121212,1.0,7.0,2.0,2.8045,0.8333333333333335,-32.0,FTL,27.777777777777786,18,13.42465,Short (<50km)
