facility_code,facility_name,state,total_volume,betweenness_centrality,pagerank,clustering_coefficient,in_degree,out_degree,weighted_in_degree,weighted_out_degree,avg_out_delay,median_out_delay,pct_delayed_out,avg_in_delay,pct_delayed_in,norm_betweenness,norm_delay,norm_volume,bottleneck_score,bottleneck_rank,outgoing_breach_impact,incoming_breach_impact,total_breach_impact,sla_contribution_pct
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),Haryana,1991,0.220359,0.019326,0.0372,45,49,928,1063,3.398,2.091,0.943,3.028,0.837,1.0,0.943,1.0,0.9772000000000001,1,1002.0,777.0,1779.0,7.709308372334893
IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),Maharashtra,1404,0.065061,0.008233,0.0616,29,29,583,821,3.716,2.667,0.961,4.086,0.882,0.2952500238247587,0.961,0.7050251256281407,0.6844825448358698,3,789.0,514.0,1303.0,5.646559195701161
IND562132AAA,Bangalore_Nelmngla_H (Karnataka),Karnataka,1433,0.166009,0.013163,0.0536,36,35,665,768,2.28,1.522,0.742,2.668,0.788,0.7533570219505443,0.742,0.7195979899497488,0.7386865035700879,2,570.0,524.0,1094.0,4.740856300918703
IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),Punjab,801,0.053038,0.010081,0.0343,32,29,431,370,2.232,1.613,0.665,3.321,0.951,0.24068905740178528,0.665,0.4020100502512563,0.4588097322959125,14,246.0,410.0,656.0,2.842780377881782
IND501359AAE,Hyderabad_Shamshbd_H (Telangana),Telangana,734,0.085112,0.011175,0.0427,30,27,405,329,2.857,1.909,0.939,3.17,0.844,0.38624244982052014,0.939,0.3683417085427136,0.6019752475089701,4,309.0,342.0,651.0,2.8211128445137805
IND411033AAA,Pune_Tathawde_H (Maharashtra),Maharashtra,733,0.074379,0.007394,0.0616,23,20,330,403,2.831,1.467,0.643,3.011,0.882,0.3375355669611861,0.643,0.3678391959798995,0.4688124288823257,12,259.0,291.0,550.0,2.3834286704801526
IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),Karnataka,820,0.004137,0.005521,0.1368,11,18,354,466,1.82,1.36,0.599,2.168,0.684,0.01877390984711312,0.599,0.4115577889447236,0.36869950963755105,1108,279.0,242.0,521.0,2.2577569769457444
IND400072AAB,Mumbai Hub (Maharashtra),Maharashtra,534,0.005657,0.002991,0.0769,11,11,234,300,4.446,3.0,1.0,3.363,0.923,0.025671744743804428,1.0,0.2678391959798995,0.4880532822171112,8,300.0,216.0,516.0,2.236089443577743
IND600056AAB,MAA_Poonamallee_HB (Tamil Nadu),Tamil Nadu,541,0.045663,0.005333,0.0593,18,18,241,300,3.326,2.0,0.987,2.379,0.826,0.20722094400501,0.987,0.271356783919598,0.5383733183773824,6,296.0,199.0,495.0,2.145085803432137
IND382430AAB,Ahmedabad_East_H_1 (Gujarat),Gujarat,537,0.02677,0.003908,0.0399,17,13,257,280,3.581,2.0,0.914,3.639,0.926,0.12148357906870152,0.914,0.2693467336683417,0.482849093821113,9,256.0,238.0,494.0,2.1407522967585373
